YearsExperience,Salary,Salary_Predicted,Residuals
1.1,39343.0,36187.15875226929,3155.8412477307065
1.3,46205.0,38077.151216560305,8127.848783439695
1.5,37731.0,39967.143680851324,-2236.1436808513245
2.0,43525.0,44692.12484157886,-1167.1248415788575
2.2,39891.0,46582.11730586988,-6691.117305869877
2.9,56642.0,53197.09093088842,3444.909069111578
3.0,60150.0,54142.08716303393,6007.912836966068
3.2,54445.0,56032.07962732494,-1587.0796273249434
3.2,64445.0,56032.07962732494,8412.920372675057
3.7,57189.0,60757.060788052484,-3568.060788052484
3.9,63218.0,62647.053252343496,570.9467476565042
4.0,55794.0,63592.049484489005,-7798.049484489005
4.0,56957.0,63592.049484489005,-6635.049484489005
4.1,57081.0,64537.04571663451,-7456.045716634508
4.5,61111.0,68317.03064521654,-7206.030645216539
4.9,67938.0,72097.01557379858,-4159.015573798577
5.1,66029.0,73987.00803808958,-7958.008038089581
5.3,83088.0,75877.0005023806,7210.999497619399
5.9,81363.0,81546.97789525366,-183.9778952536581
6.0,93940.0,82491.97412739915,11448.025872600849
6.8,91738.0,90051.9439845632,1686.0560154367995
7.1,98273.0,92886.93268099973,5386.067319000271
7.9,101302.0,100446.90253816379,855.0974618362088
8.2,113812.0,103281.8912346003,10530.108765399696
8.7,109431.0,108006.87239532784,1424.1276046721614
9.0,105582.0,110841.86109176437,-5259.861091764367
9.5,116969.0,115566.84225249192,1402.1577475080849
9.6,112635.0,116511.83848463741,-3876.83848463741
10.3,122391.0,123126.81210965598,-735.8121096559771
10.5,121872.0,125016.80457394698,-3144.8045739469817
